Sourcetype,Name (transforms.conf),Example Logs,Fields To Extract,REGEX,Description,Status,Authors
synology:file_transfer,synology_ft_basefields,"Sep 19 22:29:46 172.17.0.1 Sep 19 22:29:46 SYN-NAS WinFileService Event: read, Path: /docker/splunk/apps/TA-synology/default/props.conf, File/Folder: File, Size: 1.89 KB, User: john.smith@ldap.local.com, IP: 192.168.1.59","action, path, file_folder, sizeValue, sizeUnit, user, src_ip
","\sWinFileService Event:\s(?<action>create|write|read|delete|rename),\sPath:\s(?<path>.+?(?=,)),\sFile\/Folder:\s(?<file_folder>File|Folder),\sSize:\s(?<sizeValue>[\d.]+)\s?(?<sizeUnit>\w*),\sUser:\s(?<user>[^\,]*),\sIP:\s(?<src_ip>[[ipv4]])",When you interact with a file on a network share.,In Progress,Satiex
synology:connection,synology_conn_authentication,Sep 16 22:42:11 172.17.0.1 Sep 16 22:42:11 SYN-NAS Connection: User [administrator] from [192.168.19.59] signed in to [DSM] successfully via [password].,"host_ip, hostname, message, user, src_ip, application, auth_method",Connection:\sUser\s\[(?<user>.+?(?=]))\]\sfrom\s\[(?<src_ip>.+?(?=\]))]\ssigned\sin\sto\s\[(?<application>.+?(?=]))\]\ssuccessfully\svia\s\[(?<auth_method>.+?(?=])),Logging into the DSM interface.,In Progress,Satiex
synology:file_transfer,synology_ft_filename,"Sep 19 22:29:46 172.17.0.1 Sep 19 22:29:46 SYN-NAS WinFileService Event: read, Path: /docker/splunk/apps/TA-synology/default/props.conf, File/Folder: File, Size: 1.89 KB, User: john.smith@ldap.local.com, IP: 192.168.1.59",filename,".*\/(?<filename>.*.+?(?=,\sFile\/Folder))",Extracting the filename from the full UNC path.,In Progress,Satiex
synology:connection,,Sep 19 16:13:31 172.17.0.1 Sep 19 16:13:31 SYN-NAS Connection: User [john.smith@ldap.local.com] from [DESKTOP-600SD3R(192.168.19.59)] via [CIFS(SMB3)] accessed shared folder [Movies].,"host_ip, hostname, message, user, src_hostname, src_ip, protocol, shared_folder",Connection:\sUser\s\[(?<user>.+?(?=]))\]\sfrom\s\[(?<src_hostname>.+?(?=\())\((?<src_ip>.+?(?=\)))\)\]\svia\s\[(?<protocol>.+?(?=)\))\]\saccessed\sshared\sfolder\s\[(?<shared_folder>.+?(?=])),When you connect to a network share via SMB (may be similar for other protocols).,In Progress,Satiex
see above,see above,Sep 20 17:02:32 172.17.0.1 Sep 20 17:02:32 Work_Synology Connection: User [billy] from [home-pc(192.168.6.16)] via [CIFS(SMB3)] accessed shared folder [Documents].,see above,see above,see above,see above,see above
synology:general,synology_general_service,"Sep 19 15:55:09 172.17.0.1 Sep 19 15:55:09 SYN-NAS System administrator:	FTP service was stopped.","host_ip, hostname, service_name, action, message",,A service is stopped.,,
,,Sep 19 15:55:08 172.17.0.1 Sep 19 15:55:08 SYN-NAS System: System successfully stopped [FTP].,"host_ip, hostname, user, action, service name, message",,Another service is stopped event.,,
synology:general,synology_general_service,Sep 17 00:27:41 172.17.0.1 Sep 17 00:27:41 SYN-NAS System SYSTEM: [Synology Drive Server] service was stopped.,"host_ip, hostname, user, service, message, service_status","System\s(?<user>.+?(?=:)):	\[(?<service_name>.+?(?=\]))]\sservice\swas\s(?<service_status>.+?(?=\.))",Service is stopped with square brackets around service name.,In Progress,Satiex
synology:general,synology_general_log_level,Sep 19 14:40:53 172.17.0.1 Sep 19 14:40:53 SYN-NAS System administrator: [SMB Log Level]: [permission change] was enabled,"host_ip, hostname, user, service, log_type, action, message",,SMB log level is changed.,,
see above,see above,"Sep 20 16:56:05 172.17.0.1 Sep 20 16:56:05 Syno_Nas System administrator: [SMB Log Level]: [create, delete, move, permission change, read, rename, write] was enabled",see above,see above,see above,see above,see above
see above,see above,"Sep 20 16:55:48 172.17.0.1 Sep 20 16:55:48 Syno_Nas System administrator: [SMB Log Level]: [create, delete, move, permission change, read, rename, write] was disabled",see above,see above,see above,see above,see above
synology:general,synology_general_ntp,Sep 19 14:36:02 172.17.0.1 Sep 19 14:36:02 SYN-NAS System administrator: Network time synchronization is activated; the server will be synchronized with the network time server [time.google.com].,"host_ip, hostname, user, message, action, ntp_server",,NTP is enabled.,,
synology:general,synology_general_time_changed,Sep 19 14:35:57 172.17.0.1 Sep 19 14:35:57 SYN-NAS System administrator: Server date/time was changed to [2021/09/19 14:35:57] from [2021/09/19 14:30:36].,"host_ip, hostname, message, original_time, new_time",,Date and time is changed.,,
